Android application is debugging.
02-10 21:27:59.965 I/art     (26521): Late-enabling -Xcheck:jni
02-10 21:30:09.747 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.765 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.782 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.799 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.817 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.833 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.849 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.867 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.885 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.902 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.921 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.935 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.953 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.979 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:09.987 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.007 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.024 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.047 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.057 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.090 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.104 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.123 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.141 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.156 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.175 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.192 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.209 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.225 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.245 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.265 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.282 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.297 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.322 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.336 D/libc-netbsd(26521): getaddrinfo: bakkiefybackend.azurewebsites.net get result from proxy >>
02-10 21:30:10.341 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.362 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.380 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.392 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.414 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.430 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.444 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.466 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.482 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.499 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.515 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.532 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.549 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.570 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.588 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.603 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.619 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.639 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.652 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.669 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.688 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.702 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.721 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.736 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.754 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.775 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.787 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.809 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.825 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.841 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.857 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.876 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.890 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.911 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.928 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.942 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.959 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.976 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:10.993 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.010 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.030 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.044 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.063 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.080 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.099 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.113 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.130 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.146 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.165 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.181 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.197 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.222 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.235 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.251 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.265 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.286 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.302 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.332 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.353 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.373 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.386 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.398 D/Mono    (26521): DllImport attempting to load: '/system/lib/libc.so'.
02-10 21:30:11.402 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.423 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.436 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.453 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.470 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.491 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.506 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.521 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.539 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.556 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.574 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.590 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.607 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.624 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.641 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.659 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.680 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.693 D/Mono    (26521): DllImport loaded library '/system/lib/libc.so'.
02-10 21:30:11.693 D/Mono    (26521): DllImport searching in: '/system/lib/libc.so' ('/system/lib/libc.so').
02-10 21:30:11.693 D/Mono    (26521): Searching for 'uname'.
02-10 21:30:11.693 D/Mono    (26521): Probing 'uname'.
02-10 21:30:11.693 D/Mono    (26521): Found as 'uname'.
02-10 21:30:11.697 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.710 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.728 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.749 D/Mono    (26521): Assembly Ref addref Mono.Security[0xb8a6cf28] -> System[0xb7e63b10]: 15
02-10 21:30:11.751 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.766 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.779 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.803 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.820 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.858 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.889 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.896 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.916 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.931 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.953 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:11.963 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.028 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.040 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.053 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.066 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.085 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.103 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.119 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.135 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.153 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.170 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.189 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.208 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.223 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.240 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.255 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.277 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.293 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.308 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.333 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.372 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.393 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.410 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.429 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.445 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.466 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.478 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.495 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.513 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.538 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.553 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.564 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.584 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.603 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.615 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.637 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.651 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.671 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.684 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.700 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.754 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.768 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.788 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.803 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.823 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.837 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.855 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.871 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.891 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.905 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.923 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.940 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.958 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.976 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:12.991 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.008 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.024 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.042 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.059 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.078 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.093 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.110 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.128 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.148 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.165 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.180 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.200 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.216 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.230 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
Thread started: <Thread Pool> #10
02-10 21:30:13.249 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.272 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.304 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.314 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.327 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.400 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.405 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.419 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.447 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.484 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.501 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.510 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.521 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.540 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.555 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.575 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.589 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.611 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.622 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.639 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.655 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.678 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.690 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.714 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.743 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.761 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.780 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.789 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.811 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.826 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.842 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.868 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.885 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.912 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.926 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.948 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.962 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.980 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:13.997 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.016 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.033 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.050 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.070 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.087 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.103 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.141 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.155 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.167 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.185 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.204 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.219 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.235 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.252 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.270 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.287 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.307 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.322 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.340 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.355 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.372 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.389 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
02-10 21:30:14.407 D/Surface (26521): Surface::setBuffersDimensions(this=0xb889f198,w=147,h=163)
